Municipality,Total,latitude,longtitude,,,,,
ABEJORRAL,11133,,,,,,,
ABREGO,8207,,,,,,,
ABRIAQUI,2024,,,,,,,
ACACIAS,6756,,,,,,,
Acandi,18516,,,,,,,
Acevedo,26057,,,,,,,
Agua De Dios,581,,,,,,,
Aguachica,28894,,,,,,,
Aguazul,8550,,,,,,,
AGUSTIN CODAZZI,48651,,,,,,,
Aipe,3284,,,,,,,
Alban,3046,,,,,,,
Albania,8969,,,,,,,
Alcala,1350,,,,,,,
Aldana,258,,,,,,,
Alejandria,6772,,,,,,,
Algarrobo,7035,,,,,,,
Algeciras,17394,,,,,,,
Almaguer,4695,,,,,,,
Almeida,90,,,,,,,
Alpujarra,1918,,,,,,,
Alto Baudo,19874,,,,,,,
Altos del rosario,11080,,,,,,,
Alvarado,2375,,,,,,,
Amaga,2965,,,,,,,
amalfi,9902,,,,,,,
ambalema,1021,,,,,,,
anapoima,402,,,,,,,
ancuya,720,,,,,,,
andalucia,1559,,,,,,,
andes,6716,,,,,,,
Angelpolis,1998,,,,,,,
Angostura,4789,,,,,,,
anolaima,562,,,,,,,
Anori,16123,,,,,,,
Anserma,5477,,,,,,,
Ansermaunuevo,1357,,,,,,,
Anza,5018,,,,,,,
Anzoategui,7069,,,,,,,
Apartado,85845,,,,,,,
Apia,2693,,,,,,,
Apulo,505,,,,,,,
Aquitania,1174,,,,,,,
Aracataca,25820,,,,,,,
Aranzazu,1021,,,,,,,
Arauca,21026,,,,,,,
Arauquita,23427,,,,,,,
Arboleda,786,,,,,,,
Arboledas,2222,,,,,,,
Arboletes,27860,,,,,,,
Arenal,6668,,,,,,,
Argelia,58454,,,,,,,
Ariguani,7945,,,,,,,
Arjona,2868,,,,,,,
Armenia,4552,,,,,,,
Armero,2257,,,,,,,
Arroyohondo,1185,,,,,,,
Astrea,9413,,,,,,,
Ataco,21673,,,,,,,
Atrato,3416,,,,,,,
Ayapel,8768,,,,,,,
Bagado,18787,,,,,,,
Bahia Solano,3639,,,,,,,
Bajo Baudo,13896,,,,,,,
Balboa,13301,,,,,,,
